ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E04365,内国法人・組合,上場,有,312,9月30日,株式会社ユーラシア旅行社,"EURASIA TRAVEL Co.,Ltd",カブシキガイシャユーラシアリョコウシャ,千代田区平河町二丁目七番四号,サービス業,93760
E04491,内国法人・組合,非上場,無,983,12月末日,ＫＮＴＶ株式会社,"KNTV Co., Ltd.",ケイエヌティヴィーカブシキガイシャ,港区北青山三丁目３番５号東京建物青山ビル３階,サービス業,
E04535,内国法人・組合,上場,有,3700,3月31日,株式会社東京會舘,"Tokyo Kaikan Co.,Ltd.",カブシキガイシャトウキョウカイカン,千代田区丸の内三丁目２番１号,サービス業,97010
E04538,内国法人・組合,上場,有,11432,12月31日,株式会社アゴーラ・ホスピタリティー・グループ,"AGORA Hospitality Group Co., Ltd.",アゴーラホスピタリティーグループ,港区虎ノ門五丁目２番６号,サービス業,97040
E04539,内国法人・組合,上場,有,1485,3月31日,株式会社帝国ホテル,"Imperial Hotel, Ltd.",カブシキガイシャテイコクホテル,千代田区内幸町一丁目１番１号,サービス業,97080
E04540,内国法人・組合,上場,有,18102,3月31日,株式会社ロイヤルホテル,"THE ROYAL HOTEL,LIMITED",カブシキカイシャロイヤルホテル,大阪市北区中之島５丁目３番６８号,サービス業,97130
E31043,個人（組合発行者を除く）,,,,,白水　秀樹,,シラミズ　ヒデキ,,個人（組合発行者を除く）,
E04547,内国法人・組合,非上場,有,3000,3月31日,株式会社ホテルオークラ,"HOTEL OKURA Co.,Ltd.",カブシキガイシャホテルオークラ,港区虎ノ門二丁目１０番４号,サービス業,
E04549,内国法人・組合,非上場,有,1000,12月31日,株式会社パレスホテル,"PALACE HOTEL CO., LTD.",カブシキガイシャパレスホテル,千代田区丸の内一丁目１番１号,サービス業,
E31051,個人（組合発行者を除く）,,,,,日下　賢一郎,,クサカ　ケンイチロウ,,個人（組合発行者を除く）,
E04550,内国法人・組合,上場,無,1268,3月31日,株式会社京都ホテル,"THE KYOTO HOTEL, LTD.",カブシキガイシャキョウトホテル,京都市中京区河原町通二条南入一之船入町５３７番地の４,サービス業,97230
E31053,個人（組合発行者を除く）,,,,,大澤　朋陸,,オオサワ　トモタカ,,個人（組合発行者を除く）,
E04551,内国法人・組合,非上場,無,960,3月31日,株式会社熊本ホテルキャッスル,"KUMAMOTO HOTEL CASTLE CO.,LTD.",カブシキカイシャクマモトホテルキャッスル,熊本市中央区城東町４番２号,サービス業,
E04554,内国法人・組合,非上場,無,600,3月31日,朝日観光株式会社,,アサヒカンコウカブシキガイシャ,鎌倉市今泉５丁目１０２６番地,サービス業,
E04555,内国法人・組合,非上場,無,202,3月31日,株式会社丸ノ内ホテル,"MARUNOUCHI HOTEL CO., LTD.",カブシキガイシャマルノウチホテル,千代田区丸の内一丁目６番３号,サービス業,
E31058,個人（組合発行者を除く）,,,,,梶本　雄介,,カジモト　ユウスケ,,個人（組合発行者を除く）,
E04560,内国法人・組合,上場,有,12081,12月31日,藤田観光株式会社,FUJITA KANKO INC.,フジタカンコウカブシキガイシャ,文京区関口二丁目１０番８号,サービス業,97220
E04564,内国法人・組合,非上場,有,3462,3月31日,株式会社　ニュー・オータニ,"NEW OTANI  CO., LTD.",カブシキガイシャ　ニューオータニ,千代田区紀尾井町４番１号,サービス業,
E31062,個人（組合発行者を除く）,,,,,沼田　稔,,ヌマタ　ミノル,,個人（組合発行者を除く）,
E04566,内国法人・組合,上場,無,3455,11月30日,株式会社ホテル、ニューグランド,"HOTEL NEW GRAND CO.,LTD",カブシキガイシャホテルニューグランド,横浜市中区山下町１０番地,サービス業,97200
E04567,内国法人・組合,非上場,無,50,12月31日,株式会社ホテルニューアカオ,,カブシキガイシャホテルニューアカオ,熱海市熱海１９９３番地２５０,サービス業,
E04576,内国法人・組合,上場,無,626,3月31日,株式会社鴨川グランドホテル,"THE KAMOGAWA GRAND HOTEL,LTD.",カブシキガイシャカモガワグランドホテル,鴨川市広場８２０番地,サービス業,96950
E31068,個人（組合発行者を除く）,,,,,上田　正巳,,ウエダ　マサミ,,個人（組合発行者を除く）,
E04580,内国法人・組合,非上場,無,4204, 2月末日,株式会社コープビル,"COOP BUILDING CO., LTD.",カブシキガイシャコープビル,長岡市台町２丁目８番３５号,サービス業,
E04588,内国法人・組合,上場,有,7028,12月31日,株式会社東急レクリエーション,"TOKYU RECREATION CO.,LTD.",カブシキガイシャトウキュウレクリエーション,渋谷区桜丘町２－９,サービス業,96310
E31072,外国法人・組合（有価証券報告書等の提出義務者以外）,,,22285,,リクソー・アセット・マネジメント・エス・エイ・エス,,リクソーアセットマネジメントエスエイエス,フランス共和国９２９８７、パリ　ラ・デファンス、バルミー通り１７番、ソシエテ　ジェネラル　タワー（登記上の所在場所：９２８００ピュトー、バルミー通り１７番、ソシエテ　ジェネラル　タワー）,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31073,外国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,スターバックス・コーヒー・インターナショナル・インク,,スターバックスコーヒーインターナショナルインク,アメリカ合衆国ワシントン州タムウォーター、デシューツ・ウェイ、サウスウェスト３００、スイート３０４,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31074,個人（組合発行者を除く）,,,,,西原　聖一郎,,ニシハラ　セイイチロウ,,個人（組合発行者を除く）,
E31075,個人（組合発行者を除く）,,,,,井野公人,,イノキミヒト,,個人（組合発行者を除く）,
E04589,内国法人・組合,上場,有,4552,3月31日,東京テアトル株式会社,"Tokyo Theatres Company, Incorporated",トウキョウテアトルカブシキカイシャ,新宿区新宿一丁目１番８号,サービス業,96330
E31080,外国法人・組合（有価証券報告書等の提出義務者以外）,,,4277,,株式会社三益楽器,,カブシキガイシャ　サミックガッキ,大韓民国忠清北道陰城郡蘇伊面大長里１－６,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31081,個人（組合発行者を除く）,,,,,山西　良知,,ヤマニシ　ヨシトモ,,個人（組合発行者を除く）,
E31084,外国法人・組合（有価証券報告書等の提出義務者以外）,,,68,,ＦＩＬ・インベストメント・マネジメント（ルクセンブルグ）エス・エイ,,エフ　アイ　エル　インベストメント　マネジメント　ルクセンブルグ　エス　エイ,ルクセンブルグ大公国　ルクセンブルグ　Ｌ－１２４６　アルバート・ボルシェット通り　２ａ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31085,外国法人・組合（有価証券報告書等の提出義務者以外）,,,17,,ＨＳＢＣマネジメント（ガーンジー）リミテッド,,エイチエスビーシー　マネジメント　ガーンジー　リミテッド,チャネル諸島、ＧＹ１　３ＮＦ、ガーンジー、セント・ピーター・ポート、セント・ジュリアンズ・アベニュー、アーノルド・ハウス,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31086,外国法人・組合（有価証券報告書等の提出義務者以外）,,,78,,ムーア・マネジメント（バーミューダ）リミテッド,,ムーアマネジメントバーミューダリミテッド,バーミューダ、ハミルトンＨＭ１１、チャーチ・ストリート２番、クラレンドン・ハウス,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31087,外国法人・組合（有価証券報告書等の提出義務者以外）,,,5187,,ブラックロック・ファンド・マネジメント・カンパニー・エス・エー,,ブラックロックファンドマネジメントカンパニーエスエー,ルクセンブルグ大公国、ルクセンブルグ　Ｌ－１８５５、Ｊ．Ｆ．ケネディ通り　３５Ａ番,外国法人・組合（有価証券報告書等の提出義務者以外）,
E04591,内国法人・組合,上場,有,1004,3月31日,武蔵野興業株式会社,,ムサシノコウギョウカブシキガイシャ,新宿区新宿三丁目３６番６号,サービス業,96350
E04592,内国法人・組合,上場,無,564,1月31日,株式会社きんえい,Kin-Ei Corp.,カブシキガイシャ　キンエイ,大阪市阿倍野区阿倍野筋１丁目５番１号,サービス業,96360
E31091,個人（組合発行者を除く）,,,,,菅　脩,,スガ　オサム,,個人（組合発行者を除く）,
E04593,内国法人・組合,上場,有,800,1月31日,オーエス株式会社,"OS CO., LTD.",オーエスカブシキガイシャ,大阪市北区小松原町３番３号,サービス業,96370
E04596,内国法人・組合,上場,無,270,3月31日,中日本興業株式会社,"Nakanihon KOGYO CO.,Ltd.",ナカニホンコウギョウカブシキガイシャ,名古屋市中村区名駅四丁目７番１号,サービス業,96430
E31096,個人（組合発行者を除く）,,,,,佐藤　昌平,,サトウ　ショウヘイ,,個人（組合発行者を除く）,
E31097,個人（組合発行者を除く）,,,,,宮内　誠,,ミヤウチ　マコト,,個人（組合発行者を除く）,
E31099,個人（組合発行者を除く）,,,,,望月　雅博,,モチヅキ　マサヒロ,,個人（組合発行者を除く）,
E31100,個人（組合発行者を除く）,,,,,三木　佳美,,ミキ　ヨシミ,,個人（組合発行者を除く）,
E31101,個人（組合発行者を除く）,,,,,三木　博也,,ミキ　ヒロヤ,,個人（組合発行者を除く）,
E31102,個人（非居住者）（組合発行者を除く）,,,,,長谷川　進一,,ハセガワ　シンイチ,,個人（非居住者）（組合発行者を除く）,
E04599,内国法人・組合,上場,有,1331,1月31日,スバル興業株式会社,"Subaru Enterprise Co., Ltd.",スバルコウギョウカブシキガイシャ,千代田区有楽町一丁目１０番１号,サービス業,96320
E04601,内国法人・組合,非上場,無,135,5月31日,新橋演舞場株式会社,"Shinbashi Enbujo Co.,Ltd.",シンバシエンブジョウカブシキガイシャ,中央区銀座六丁目１８番２号,サービス業,
E31105,個人（組合発行者を除く）,,,,,丹下　大,,タンゲ　マサル,,個人（組合発行者を除く）,
E31106,個人（組合発行者を除く）,,,,,河口　臣,,カワグチ　ジン,,個人（組合発行者を除く）,
E31109,個人（組合発行者を除く）,,,,,片山　晃,,カタヤマ　アキラ,,個人（組合発行者を除く）,
E04602,内国法人・組合,上場,有,6053,3月31日,株式会社よみうりランド,"YOMIURI LAND. CO., LTD",カブシキガイシャヨミウリランド,稲城市矢野口４０１５番地１,サービス業,96710
E31112,個人（組合発行者を除く）,,,,,林　健人,,ハヤシ　ケント,,個人（組合発行者を除く）,
E31113,個人（組合発行者を除く）,,,,,池上　俊介,,イケガミ　シュンスケ,,個人（組合発行者を除く）,
E31114,個人（組合発行者を除く）,,,,,井上　弘之,,イノウエ　ヒロユキ,,個人（組合発行者を除く）,
E31115,個人（組合発行者を除く）,,,,,家喜　信行,,イエキ　ノブユキ,,個人（組合発行者を除く）,
E31116,外国法人・組合（有価証券報告書等の提出義務者以外）,,,3658,,ドレイパーネクサステクノロジーパートナーズエルピー,,ドレイパーネクサステクノロジーパートナーズエルピー,５５　イーストサードアベニュー、サンマテオ、カリフォルニア９４４０１、米国,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31117,個人（組合発行者を除く）,,,,,國光　宏尚,,クニミツ　ヒロナオ,,個人（組合発行者を除く）,
E31120,外国法人・組合（有価証券報告書等の提出義務者以外）,,,4200,,キュキャピタルパートナーズ株式会社,,キュキャピタルパートナーズカブシキカイシャ,大韓民国ソウル市江南区テヘラン路３０６、１１階（驛三洞、カイトタワー）,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31121,個人（組合発行者を除く）,,,,,元榮　太一郎,,モトエ　タイチロウ,,個人（組合発行者を除く）,
E31122,外国法人・組合（有価証券報告書等の提出義務者以外）,,,3217,,ＮＩＴＴＡＮ　ＣＡＰＩＴＡＬ　ＣＯＭＰＡＮＹ　ＬＩＭＩＴＥＤ,,ニッタン　キャピタル　カンパニー　リミテッド,７２０，Ｊａｒｄｉｎｅ　Ｈｏｕｓｅ，１　Ｃｏｎｎａｕｇｈｔ　Ｐｌａｃｅ，Ｃｅｎｔｒａｌ，Ｈｏｎｇ　Ｋｏｎｇ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E04603,内国法人・組合,上場,有,10586,12月31日,東京都競馬株式会社,,トウキョウトケイバカブシキガイシャ,大田区大森北１－６－８,サービス業,96720
E04604,内国法人・組合,非上場,無,413,3月31日,名古屋競馬株式会社,"Nagoya Horse Racing Co.,Ltd.",ナゴヤケイバカブシキガイシャ,名古屋市緑区大将ヶ根一丁目２８１８番地,サービス業,
E31125,個人（組合発行者を除く）,,,,,澤　博史,,サワ　ヒロフミ,,個人（組合発行者を除く）,
E31126,外国法人・組合（有価証券報告書等の提出義務者以外）,,,6631,,パーカー　ハネフィン　マニュファクチュアリング　（ユーケー）　リミテッド,,パーカー　ハネフィン　マニュファクチュアリング　ユーケー　リミテッド,パーカーハウス　５５メイランズアベニュー　ヘメル　ヘンプステッド　ハートフォードシャー　エイチピー２　４エスジェイ　イングランド,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31127,個人（組合発行者を除く）,,,,,橋本　大也,,ハシモト　ダイヤ,,個人（組合発行者を除く）,
E04605,内国法人・組合,上場,有,2038,1月31日,株式会社東京ドーム,TOKYO DOME CORPORATION,カブシキガイシャトウキョウドーム,文京区後楽１－３－６１,サービス業,96810
E04606,内国法人・組合,上場,有,2365, 2月末日,株式会社歌舞伎座,,カブシキガイシャカブキザ,中央区銀座四丁目１２番１５号,サービス業,96610
E04607,内国法人・組合,上場,有,883,3月31日,花月園観光株式会社,"kagetsuenkanko co.,ltd.",カゲツエンカンコウカブシキガイシャ,横浜市中区桜木町三丁目７番２号,サービス業,96740
E04608,内国法人・組合,非上場,有,200,8月31日,株式会社明治座,,カブシキガイシャメイジザ,中央区日本橋浜町２丁目３１番１号,サービス業,
E04609,内国法人・組合,上場,有,450,3月31日,株式会社御園座,,カブシキガイシャミソノザ,名古屋市中区栄一丁目６番１４号,サービス業,96640
E31134,個人（組合発行者を除く）,,,,,押見　正雄,,オシミ　マサオ,,個人（組合発行者を除く）,
E31135,個人（組合発行者を除く）,,,,,鈴木　久司,,スズキ　ヒサシ,,個人（組合発行者を除く）,
E31136,個人（組合発行者を除く）,,,,,古川　憲司,,フルカワ　ケンジ,,個人（組合発行者を除く）,
E31137,個人（組合発行者を除く）,,,,,吉田　浩一郎,,ヨシダ　コウイチロウ,,個人（組合発行者を除く）,
E31149,外国法人・組合（有価証券報告書等の提出義務者以外）,,,30,,Ｎ．Ｄ．Ｃ．ＩＮＶＥＳＴＭＥＮＴ（ＮＥＷ　ＺＥＡＬＡＮＤ）ＬＩＭＩＴＥＤ,,エヌディーシーインベストメントニュージーランドリミテッド,スイート５７６３，２４ｂ　ムーアフィールドロード，ジョンソンビル，ウェリントン，６０３７，ニュージーランド,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31150,個人（組合発行者を除く）,,,,,桐生　宇優,,キリュウ　ヒロマサ,,個人（組合発行者を除く）,
E31155,外国法人・組合（有価証券報告書等の提出義務者以外）,,,347,,ジャパン・ファンド・マネジメント（ルクセンブルグ）エス・エイ,,ジャパンファンドマネジメントルクセンブルグエスエイ,ルクセンブルグ大公国　ミュンスバッハ　Ｌ－５３６５　ガブリエル・リップマン通り１Ｂ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31156,個人（組合発行者を除く）,,,,,高橋　洋,,タカハシ　ヒロイ,,個人（組合発行者を除く）,
E04611,内国法人・組合,非上場,無,491,12月31日,奈良ゴルフ場株式会社,"Nara Golflinks Co.,Ltd.",ナラゴルフジョウカブシキガイシャ,奈良市宝来五丁目１０番１号,サービス業,
E04612,内国法人・組合,非上場,無,100,3月31日,福井県観光開発株式会社,"fukuiken sight-seeing resources cultvation co.,ltd",フクイケンカンコウカイハツカブシキカイシャ,あわら市浜坂６６字塩越山１番地ノ１,サービス業,
E31162,個人（組合発行者を除く）,,,,,益田　和二行,,マスダ　カズユキ,,個人（組合発行者を除く）,
E31163,個人（組合発行者を除く）,,,,,吉岡　昌成,,ヨシオカ　マサナリ,,個人（組合発行者を除く）,
E31164,個人（組合発行者を除く）,,,,,吉岡　裕太郎,,ヨシオカ　ユウタロウ,,個人（組合発行者を除く）,
E04613,内国法人・組合,非上場,無,846,3月31日,株式会社　大利根カントリー倶楽部,Ohtone Country Club Limited,カブシキガイシャオオトネカントリークラブ,坂東市下出島１０番地,サービス業,
E31168,個人（組合発行者を除く）,,,,,岡部　長八郎,,オカベ　チョウハチロウ,,個人（組合発行者を除く）,
E04614,内国法人・組合,非上場,有,200, 2月末日,株式会社芦の湖カントリークラブ,----,カブシキガイシャアシノコカントリークラブ,三島市字南原菅４７０８番地,サービス業,
E31171,個人（組合発行者を除く）,,,,,鈴木　明人,,スズキ　アキト,,個人（組合発行者を除く）,
E04615,内国法人・組合,非上場,無,150,12月31日,宮崎ゴルフ株式会社,"Miyazaki Golf Co., Ltd",ミヤザキゴルフカブシキガイシャ,宮崎市大字田吉字松崎４８５５番地９０,サービス業,
E31173,外国法人・組合（有価証券報告書等の提出義務者以外）,,,2987,,インテグレイテッド・コア・ストラテジーズ（アジア）ピーティーイー・リミテッド,,インテグレイテッドコアストラテジーズアジアピーティーイーリミテッド,シンガポール０４８６２４、ＵＯＢプラザ＃１４－２０、ラッフルズ・プレイス８０,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31175,個人（組合発行者を除く）,,,,,中村　俊一,,ナカムラ　シュンイチ,,個人（組合発行者を除く）,
E31176,個人（非居住者）（組合発行者を除く）,,,,,宮前　幸央,,ミヤマエ　ユキオ,,個人（非居住者）（組合発行者を除く）,
E31177,個人（組合発行者を除く）,,,,,齋藤　修,,サイトウ　オサム,,個人（組合発行者を除く）,
E31178,個人（組合発行者を除く）,,,,,髙木　啓太,,タカギ　ケイタ,,個人（組合発行者を除く）,
E31179,個人（組合発行者を除く）,,,,,今野　智,,コンノ　サトシ,,個人（組合発行者を除く）,
E31180,個人（組合発行者を除く）,,,,,山井　佑馬,,ヤマイ　ユウマ,,個人（組合発行者を除く）,
E31181,個人（組合発行者を除く）,,,,,山井　太,,ヤマイ　トオル,,個人（組合発行者を除く）,
E31183,個人（組合発行者を除く）,,,,,鳥居　祥雄,,トリイ　ヨシオ,,個人（組合発行者を除く）,
E04616,内国法人・組合,非上場,無,100,3月31日,株式会社東海カントリークラブ,"The Tokai Country Club Co.,Ltd.",カブシキガイシャトウカイカントリークラブ,豊川市平尾町糠川１１番地の３１,サービス業,
E31185,個人（組合発行者を除く）,,,,,今村　九治,,イマムラ　クジ,,個人（組合発行者を除く）,
E31186,個人（組合発行者を除く）,,,,,今村　直喜,,イマムラ　ナオキ,,個人（組合発行者を除く）,
E31187,個人（組合発行者を除く）,,,,,佐藤　不二夫,,サトウ　フジオ,,個人（組合発行者を除く）,
E31188,個人（組合発行者を除く）,,,,,藤田　正一,,フジタ　マサカズ,,個人（組合発行者を除く）,
E31189,個人（組合発行者を除く）,,,,,柳澤　大輔,,ヤナギサワ　ダイスケ,,個人（組合発行者を除く）,
E31190,個人（組合発行者を除く）,,,,,久場　智喜,,クバ　トモヨシ,,個人（組合発行者を除く）,
E31191,個人（組合発行者を除く）,,,,,貝畑　政徳,,カイハタ　マサノリ,,個人（組合発行者を除く）,
E04618,内国法人・組合,非上場,有,633,9月30日,北陸観光開発株式会社,"THE HOKURIKU SIGHTSEEING AND DEVELOPMENT CO.,LTD.",ホクリクカンコウカイハツカブシキガイシャ,加賀市新保町ト１番地の１,サービス業,
E31193,個人（組合発行者を除く）,,,,,吉井　伸一郎,,ヨシイ,,個人（組合発行者を除く）,
E31194,個人（組合発行者を除く）,,,,,竹本　笑子,,タケモト　エミコ,,個人（組合発行者を除く）,
E31195,個人（組合発行者を除く）,,,,,竹本　雅英,,タケモト　マサヒデ,,個人（組合発行者を除く）,
E31196,個人（組合発行者を除く）,,,,,竹本　えつこ,,タケモト　エツコ,,個人（組合発行者を除く）,
E31197,個人（組合発行者を除く）,,,,,深澤　隆弘,,フカザワ　タカヒロ,,個人（組合発行者を除く）,
E31198,個人（組合発行者を除く）,,,,,北城　恪太郎,,キタシロ　カクタロウ,,個人（組合発行者を除く）,
E04625,内国法人・組合,非上場,無,150,12月31日,株式会社　名古屋スポーツセンター,,カブシキガイシャ　ナゴヤスポーツセンター,名古屋市中区門前町１番６０号,サービス業,
E31200,個人（組合発行者を除く）,,,,,山田　妙子,,ヤマダ　タエコ,,個人（組合発行者を除く）,
E31201,外国法人・組合（有価証券報告書等の提出義務者以外）,,,8153,,Ｇａｍａｎｉａ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｈｏｌｄｉｎｇ　Ｌｔｄ．,,ガマニア　インターナショナル　ホールディングス　リミティッド,Ｐ．Ｏ．　ＢＯＸ　３０５９２ＳＭＢ，Ｃａｙｓｉｄｅ，２ｎｄ　Ｆｌｏｏｒ，Ｈａｒｂｏｕｒ　Ｄｒｉｖｅ，Ｇｒａｎｄ　Ｃａｙｍａｎ，Ｃａｙｍａｎ　Ｉｓｌａｎｄｓ，ＢＷＩ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E04626,内国法人・組合,非上場,無,644,12月31日,株式会社武蔵カントリー倶楽部,Musashi Country Club Limited,カブシキガイシャムサシカントリークラブ,入間市大字小谷田９６１番地,サービス業,
E31205,個人（組合発行者を除く）,,,,,酒井　誠,,サカイ　マコト,,個人（組合発行者を除く）,
E31206,個人（組合発行者を除く）,,,,,馬場　稔正,,ババ　トシマサ,,個人（組合発行者を除く）,
E04627,内国法人・組合,非上場,無,100,12月31日,株式会社府中カントリークラブ,FUCHU COUNTRY CLUB CO.LTD.,カブシキガイシャフチュウカントリークラブ,多摩市中沢一丁目４１番地１,サービス業,
E31208,個人（組合発行者を除く）,,,,,古田　耕司,,フルタ　コウジ,,個人（組合発行者を除く）,
E04628,内国法人・組合,非上場,無,100,12月31日,株式会社伊香保カントリー倶楽部,"Ikaho Country Club co.,Ltd.",カブシキガイシャイカホカントリークラブ,渋川市伊香保町伊香保６５４番地,サービス業,
E04629,内国法人・組合,非上場,無,90,3月31日,株式会社桑名カントリー倶楽部六石コース,,カブシキガイシャクワナカントリークラブロッコクコース,いなべ市北勢町大字阿下喜字北谷３２９０番地,サービス業,
E04630,内国法人・組合,非上場,無,180,3月31日,株式会社飯能ゴルフ倶楽部,,カブシキガイシャハンノウゴルフクラブ,飯能市芦苅場４９５,サービス業,
E04631,内国法人・組合,非上場,無,92,3月31日,株式会社　水戸カンツリー倶楽部,"Mito Country Club Co.,Ltd.",カブシキガイシャ　ミトカンツリークラブ,東茨城郡大洗町磯浜町８２３１－１,サービス業,
E04632,内国法人・組合,非上場,無,78,12月31日,株式会社小山カントリー倶楽部,OYAMA COUNTRY CLUB LIMITED,カブシキガイシャオヤマカントリークラブ,小山市大字喜沢１１４０番地,サービス業,
E31218,外国法人・組合（有価証券報告書等の提出義務者以外）,,,100,,ジャパン　ユニバーサル　リクルートメント　リミテッド,,ジャパン　ユニバーサル　リクルートメント　リミテッド,アイルランド共和国、ダブリン２、サー・ジョン・ロジャーソンズ・クエイ７７、フィッツウィリアム・ビジネス・センター、オフィスＧ０３,外国法人・組合（有価証券報告書等の提出義務者以外）,
E04633,内国法人・組合,非上場,無,466,3月31日,株式会社千葉カントリー倶楽部,"chiba country club co.,ltd.",カブシキガイシャチバカントリークラブ,野田市蕃昌４番地,サービス業,
E04634,内国法人・組合,非上場,無,270,12月31日,株式会社相模原ゴルフクラブ,,カブシキカイシャサガミハラゴルフクラブ,相模原市南区大野台４－３０－１,サービス業,
E04635,内国法人・組合,非上場,無,515,9月30日,株式会社花屋敷ゴルフ倶楽部,"Hanayashiki Golf Club co.,ltd",カブシキガイシャハナヤシキゴルフクラブ,美嚢郡吉川町上荒川字松ヶ浦７１３番地の１,サービス業,
E31227,外国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,ディーシーエム・インターナショナル・ファイブ・リミテッド,,ディーシーエムインターナショナルファイブリミテッド,ケイマン諸島、ＫＹ１－１１０４、グランド・ケイマン、クリケット・スクエア、ウィロウ・ハウス４階、私書箱２６８、キャンベル・コーポレート・サービシーズ・リミテッド,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31228,個人（組合発行者を除く）,,,,,長澤　誠,,ナガサワ　マコト,,個人（組合発行者を除く）,
E04636,内国法人・組合,非上場,無,180,3月31日,株式会社　筑波ゴルフコース,,カブシキガイシャツクバゴルフコース,つくばみらい市高岡８３０番地の２,サービス業,
E31233,個人（組合発行者を除く）,,,,,滝沢　英男,,タキザワ　ヒデオ,,個人（組合発行者を除く）,
E31234,個人（組合発行者を除く）,,,,,高杉　健郎,,タカスギ　タテオ,,個人（組合発行者を除く）,
E04637,内国法人・組合,非上場,無,425,3月31日,日本観光ゴルフ株式会社,,ニホンカンコウゴルフカブシキカイシャ,城陽市寺田奥山１番地の４６,サービス業,
E31237,個人（組合発行者を除く）,,,,,久世　博之,,キュウセ　ヒロユキ,,個人（組合発行者を除く）,
E04638,内国法人・組合,非上場,無,105,3月31日,通天閣観光株式会社,"The Tsutenkaku Tower Co., Ltd",ツウテンカクカンコウカブシキガイシャ,大阪市浪速区恵美須東１丁目１８番６号,サービス業,
E04639,内国法人・組合,非上場,無,770,3月31日,株式会社　仙台カントリークラブ,"Sendai Country Club Co.,Ltd.",カブシキガイシャセンダイカントリークラブ,名取市愛島笠島字南北沢１番地の８,サービス業,
E04640,内国法人・組合,非上場,無,600,12月31日,浜名湖観光開発株式会社,,ハマナコカンコウカイハツカブシキガイシャ,湖西市白須賀５７３９,サービス業,
E31241,個人（組合発行者を除く）,,,,,片田　徹,,カタダ　トオル,,個人（組合発行者を除く）,
E31242,個人（組合発行者を除く）,,,,,塩中　一成,,シオナカ　カズシゲ,,個人（組合発行者を除く）,
E04641,内国法人・組合,非上場,無,1213,12月31日,株式会社日高カントリー倶楽部,"HIDAKA COUNTRY CLUB CO.,LTD.",カブシキガイシャヒダカカントリークラブ,日高市高萩１２０３番地,サービス業,
E31245,外国法人・組合（有価証券報告書等の提出義務者以外）,,,1,,ＷｉＬ　Ｆｕｎｄ　Ｉ，Ｌ．Ｐ．,,ウィルファンドワン　エルピー,１０２　Ｕｎｉｖｅｒｓｉｔｙ　Ａｖｅ．，　Ｓｕｉｔｅ　１Ａ　Ｐａｌｏ　Ａｌｔｏ，ＣＡ，９４３０１，ＵＳＡ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E04642,内国法人・組合,非上場,無,198,12月31日,株式会社エムケー,MK Co.Ltd,カブシキカイシャエムケー,瑞浪市土岐町４８５８番地の４,サービス業,
E31250,外国法人・組合（有価証券報告書等の提出義務者以外）,,,5939,,ウエリントン・マネージメント・カンパニー・エルエルピー,,ウエリントン　マネージメント　カンパニー　エルエルピー,アメリカ合衆国、０２２１０　マサチューセッツ州ボストン、コングレス・ストリート２８０,外国法人・組合（有価証券報告書等の提出義務者以外）,
E31255,個人（組合発行者を除く）,,,,,佐藤　浩一,,サトウ　コウイチ,,個人（組合発行者を除く）,
E04643,内国法人・組合,非上場,無,135,12月31日,株式会社犬山カンツリー倶楽部,,カブシキガイシャイヌヤマカンツリークラブ,犬山市大字前原字橋爪山１番地の４,サービス業,
E04644,内国法人・組合,非上場,無,169,9月30日,内海観光開発株式会社,"Nai kai kan ko kaihatsu Co.,Ltd",ナイカイカンコウカイハツカブシキガイシャ,玉野市宇野６丁目１番１号,サービス業,
E31258,個人（組合発行者を除く）,,,,,藤岡　浩,,フジオカ　ヒロシ,,個人（組合発行者を除く）,
E31263,個人（組合発行者を除く）,,,,,田邊　昇一,,タナベ　ショウイチ,,個人（組合発行者を除く）,
E31264,個人（組合発行者を除く）,,,,,田邊　次良,,タナベ　ジロウ,,個人（組合発行者を除く）,
E04646,内国法人・組合,非上場,無,322,9月30日,備南観光開発株式会社,"binan kanko kaihatsu co., ltd",ビナンカンコウカイハツカブシキガイシャ,福山市神村町１３８８番地,サービス業,
E31270,個人（組合発行者を除く）,,,,,田邊　洋一郎,,タナベ　ヨウイチロウ,,個人（組合発行者を除く）,
